SECTION_KEY,TITLE,CANVAS_SIS_ID,CRS_SECTION,PREFIX,CLASS,CLASS_ID,SECTION,SECTION_ID,ACADEMIC_YEAR,ACADEMIC_TERM_ID,ACADEMIC_TERM,SECTION_TITLE,SECTION_BEGIN_DATE,SECTION_END_DATE,SECTION_LENGTH_DAYS,TCE_INVITE,TCE_R1,TCE_R2,TCE_END_DATE,TCE_REPORT_DATE,CLASS_DEPARTMENT,CLASS_DEPARTMENT_ID,CLASS_COLLEGE,CLASS_COLLEGE_SHORT,CLASS_LEVEL,IS_CROSSLISTED,CROSSLISTED_ID,DISTANCE_LEARNING,IS_UK_CORE,UK_CORE_TYPE,SPEC_TYPE
A&S110-001-2025010,"A&S110-001-2025010 - SPEC INTRO CRS, HUM: HIST OF MDRN DNCE",A_S110-001-202510,A&S110-001,A&S,A&S 110,98017730,Section 001,97456852,2025,010,Fall 2024,"SPEC INTRO CRS, HUM: HIST OF MDRN DNCE",2024-10-21 00:00:00,2024-12-20 00:00:00,60,2024-12-09 00:00:00,2024-12-10 00:00:00,2024-12-12 00:00:00,2024-12-19 00:00:00,2025-01-13 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,
A&S130-001-2025030,"A&S130-001-2025030 - SPEC INTRO CRS, SOC SCI: GLOBALIZATION",A_S130-001-202530,A&S130-001,A&S,A&S 130,98017751,Section 001,97460043,2025,030,Spring 2025,"SPEC INTRO CRS, SOC SCI: GLOBALIZATION",2025-03-10 00:00:00,2025-05-09 00:00:00,60,2025-04-28 00:00:00,2025-04-29 00:00:00,2025-05-01 00:00:00,2025-05-08 00:00:00,2025-06-02 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,
A&S140-001-2025010,A&S140-001-2025010 - FOCUS: CONNECT AND RECOVER,A_S140-001-202510,A&S140-001,A&S,A&S 140,98019725,Section 001,97432807,2025,010,Fall 2024,FOCUS: CONNECT AND RECOVER,2024-08-27 00:00:00,2024-11-14 00:00:00,79,2024-11-04 00:00:00,2024-11-05 00:00:00,2024-11-07 00:00:00,2024-11-13 00:00:00,2024-12-09 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,"QP,"
A&S140-001-2025030,A&S140-001-2025030 - FOCUS: CONNECT AND RECOVER,A_S140-001-202530,A&S140-001,A&S,A&S 140,98019725,Section 001,97401591,2025,030,Spring 2025,FOCUS: CONNECT AND RECOVER,2025-01-14 00:00:00,2025-04-10 00:00:00,86,2025-03-24 00:00:00,2025-03-27 00:00:00,2025-04-02 00:00:00,2025-04-06 00:00:00,2025-05-05 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,"QP,"
A&S140-002-2025010,A&S140-002-2025010 - FOCUS: CONNECT AND RECOVER,A_S140-002-202510,A&S140-002,A&S,A&S 140,98019725,Section 002,97432808,2025,010,Fall 2024,FOCUS: CONNECT AND RECOVER,2024-08-27 00:00:00,2024-11-14 00:00:00,79,2024-11-04 00:00:00,2024-11-05 00:00:00,2024-11-07 00:00:00,2024-11-13 00:00:00,2024-12-09 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,"QP,"
A&S140-002-2025030,A&S140-002-2025030 - FOCUS: CONNECT AND RECOVER,A_S140-002-202530,A&S140-002,A&S,A&S 140,98019725,Section 002,97401592,2025,030,Spring 2025,FOCUS: CONNECT AND RECOVER,2025-01-14 00:00:00,2025-04-10 00:00:00,86,2025-03-24 00:00:00,2025-03-27 00:00:00,2025-04-02 00:00:00,2025-04-06 00:00:00,2025-05-05 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,"QP,"
A&S141-002-2025010,A&S141-002-2025010 - ASPIRE,A_S141-002-202510,A&S141-002,A&S,A&S 141,98019775,Section 002,97453126,2025,010,Fall 2024,ASPIRE,2024-08-26 00:00:00,2024-12-18 00:00:00,114,2024-12-02 00:00:00,2024-12-05 00:00:00,2024-12-11 00:00:00,2024-12-15 00:00:00,2025-01-13 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,
A&S141-003-2025010,A&S141-003-2025010 - ASPIRE,A_S141-003-202510,A&S141-003,A&S,A&S 141,98019775,Section 003,97453127,2025,010,Fall 2024,ASPIRE,2024-08-26 00:00:00,2024-12-19 00:00:00,115,2024-12-02 00:00:00,2024-12-05 00:00:00,2024-12-11 00:00:00,2024-12-15 00:00:00,2025-01-13 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,
A&S141-007-2025010,A&S141-007-2025010 - ASPIRE,A_S141-007-202510,A&S141-007,A&S,A&S 141,98019775,Section 007,97453131,2025,010,Fall 2024,ASPIRE,2024-08-26 00:00:00,2024-12-18 00:00:00,114,2024-12-02 00:00:00,2024-12-05 00:00:00,2024-12-11 00:00:00,2024-12-15 00:00:00,2025-01-13 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,
A&S141-008-2025010,A&S141-008-2025010 - ASPIRE,A_S141-008-202510,A&S141-008,A&S,A&S 141,98019775,Section 008,97453132,2025,010,Fall 2024,ASPIRE,2024-08-26 00:00:00,2024-12-19 00:00:00,115,2024-12-02 00:00:00,2024-12-05 00:00:00,2024-12-11 00:00:00,2024-12-15 00:00:00,2025-01-13 00:00:00,Arts and Sciences,31000226,Arts and Sciences,8E000,Courses Numbering 1 and 2 Hundred Level,N,,N,N,N,
