section_key,start_date,end_date,student_count,duration_hours
AN105-210-2025020,2025-01-01,2025-01-09,22.0,192.0
ANT160-230-2025020,2025-01-01,2025-01-09,20.0,192.0
BIO103-230-2025020,2025-01-01,2025-01-09,44.0,192.0
BIO208-230-2025020,2025-01-01,2025-01-09,25.0,192.0
CIS110-230-2025020,2025-01-01,2025-01-09,10.0,192.0
CIS111-230-2025020,2025-01-01,2025-01-09,10.0,192.0
CIS300-230-2025020,2025-01-01,2025-01-09,18.0,192.0
COM101-320-2025020,2025-01-01,2025-01-09,17.0,192.0
COM249-230-2025020,2025-01-01,2025-01-09,15.0,192.0
COM252-320-2025020,2025-01-01,2025-01-09,21.0,192.0
COM312-320-2025020,2025-01-01,2025-01-09,10.0,192.0
COM313-320-2025020,2025-01-01,2025-01-09,17.0,192.0
COM350-320-2025020,2025-01-01,2025-01-09,10.0,192.0
COM460-320-2025020,2025-01-01,2025-01-09,11.0,192.0
COM471-320-2025020,2025-01-01,2025-01-09,14.0,192.0
DHN101-230-2025020,2025-01-01,2025-01-09,20.0,192.0
EAP599-030-2025020,2025-01-01,2025-01-09,28.0,192.0
ENG107-230-2025020,2025-01-01,2025-01-09,15.0,192.0
ENG280-230-2025020,2025-01-01,2025-01-09,13.0,192.0
FAM250-230-2025020,2025-01-01,2025-01-09,15.0,192.0
GEO160-230-2025020,2025-01-01,2025-01-09,13.0,192.0
GEO261-230-2025020,2025-01-01,2025-01-09,12.0,192.0
ISC311-230-2025020,2025-01-01,2025-01-09,11.0,192.0
ISC381-230-2025020,2025-01-01,2025-01-09,10.0,192.0
KHP300-230-2025020,2025-01-01,2025-01-09,15.0,192.0
KHP445-230-2025020,2025-01-01,2025-01-09,11.0,192.0
MAT247-230-2025020,2025-01-01,2025-01-09,17.0,192.0
MUS100-230-2025020,2025-01-01,2025-01-09,22.0,192.0
MUS140-230-2025020,2025-01-01,2025-01-09,14.0,192.0
MUS222-230-2025020,2025-01-01,2025-01-09,14.0,192.0
SOC101-230-2025020,2025-01-01,2025-01-09,13.0,192.0
STA210-230-2025020,2025-01-01,2025-01-09,27.0,192.0
STA296-230-2025020,2025-01-01,2025-01-09,16.0,192.0
SW124-230-2025020,2025-01-01,2025-01-09,10.0,192.0
SW711-230-2025020,2025-01-01,2025-01-09,13.0,192.0
SW731-230-2025020,2025-01-01,2025-01-09,10.0,192.0
PPS991-060-2025030,2025-01-13,2025-01-23,31.0,240.0
PPS992-060-2025030,2025-01-13,2025-01-23,12.0,240.0
PPS993-060-2025030,2025-01-13,2025-01-23,19.0,240.0
PPS995-060-2025030,2025-01-13,2025-01-23,17.0,240.0
PPS996-060-2025030,2025-01-13,2025-01-23,14.0,240.0
MD816-001-2025030,2025-01-20,2025-01-30,142.0,240.0
MD816-021-2025030,2025-01-20,2025-01-30,29.0,240.0
MD816-031-2025030,2025-01-20,2025-01-30,34.0,240.0
MD833-006-2025030,2025-01-20,2025-01-30,15.0,240.0
MD834-006-2025030,2025-01-20,2025-01-30,11.0,240.0
MD838-006-2025030,2025-01-20,2025-01-30,13.0,240.0
PT669-001-2025030,2025-01-27,2025-02-05,42.0,216.0
PT669-501-2025030,2025-01-27,2025-02-05,14.0,216.0
CSE571-201-2025030,2025-02-03,2025-02-13,18.0,240.0
EDC317-403-2025030,2025-02-03,2025-02-12,16.0,216.0
JAM201-001-2025030,2025-02-03,2025-02-12,26.0,216.0
JAM201-002-2025030,2025-02-03,2025-02-12,23.0,216.0
JAM202-001-2025030,2025-02-03,2025-02-12,20.0,216.0
JAM203-001-2025030,2025-02-03,2025-02-12,16.0,216.0
JAM203-002-2025030,2025-02-03,2025-02-12,14.0,216.0
MD824-001-2025030,2025-02-03,2025-02-13,133.0,240.0
MD824-021-2025030,2025-02-03,2025-02-13,30.0,240.0
MD824-031-2025030,2025-02-03,2025-02-13,32.0,240.0
EDC317-401-2025030,2025-02-10,2025-02-17,18.0,168.0
MGT611-001-2025030,2025-02-17,2025-02-26,48.0,216.0
PAS665-202-2025030,2025-02-17,2025-02-27,10.0,240.0
A&S420-201-2025030,2025-02-24,2025-03-06,26.0,240.0
AAS500-201-2025030,2025-02-24,2025-03-06,25.0,240.0
ACC603-001-2025030,2025-02-24,2025-03-02,35.0,144.0
AN105-201-2025030,2025-02-24,2025-03-06,229.0,240.0
AN105-202-2025030,2025-02-24,2025-03-06,227.0,240.0
AN105-203-2025030,2025-02-24,2025-03-06,225.0,240.0
AN105-204-2025030,2025-02-24,2025-03-06,182.0,240.0
AN105-205-2025030,2025-02-24,2025-03-06,158.0,240.0
B&E150-001-2025030,2025-02-24,2025-03-04,12.0,192.0
BIO103-201-2025030,2025-02-24,2025-03-06,46.0,240.0
CED550-201-2025030,2025-02-24,2025-03-06,90.0,240.0
CED560-202-2025030,2025-02-24,2025-03-06,24.0,240.0
CED710-201-2025030,2025-02-24,2025-03-03,16.0,168.0
CHS175-001-2025030,2025-02-24,2025-03-04,22.0,192.0
CHS175-002-2025030,2025-02-24,2025-03-05,27.0,216.0
CLM104-001-2025030,2025-02-24,2025-03-04,26.0,192.0
CLM443-001-2025030,2025-02-24,2025-03-04,25.0,192.0
CLM453-201-2025030,2025-02-24,2025-03-06,25.0,240.0
EDC543-201-2025030,2025-02-24,2025-03-03,20.0,168.0
EDC548-201-2025030,2025-02-24,2025-03-04,20.0,192.0
ENS601-201-2025030,2025-02-24,2025-03-06,14.0,240.0
FIN623-001-2025030,2025-02-24,2025-03-04,35.0,192.0
FIN645-001-2025030,2025-02-24,2025-03-04,24.0,192.0
HIS109-201-2025030,2025-02-24,2025-03-06,47.0,240.0
HIS363-201-2025030,2025-02-24,2025-03-06,35.0,240.0
KHP100-001-2025030,2025-02-24,2025-03-06,19.0,240.0
KHP100-002-2025030,2025-02-24,2025-03-05,24.0,216.0
KHP100-401-2025030,2025-02-24,2025-03-05,21.0,216.0
KHP104-001-2025030,2025-02-24,2025-03-05,30.0,216.0
KHP110-001-2025030,2025-02-24,2025-03-06,20.0,240.0
KHP112-002-2025030,2025-02-24,2025-03-05,25.0,216.0
KHP118-001-2025030,2025-02-24,2025-03-06,10.0,240.0
KHP118-002-2025030,2025-02-24,2025-03-05,19.0,216.0
KHP118-201-2025030,2025-02-24,2025-03-06,27.0,240.0
KHP118-202-2025030,2025-02-24,2025-03-06,30.0,240.0
KHP118-203-2025030,2025-02-24,2025-03-06,31.0,240.0
KHP118-204-2025030,2025-02-24,2025-03-06,28.0,240.0
KHP118-205-2025030,2025-02-24,2025-03-06,29.0,240.0
KHP118-206-2025030,2025-02-24,2025-03-06,28.0,240.0
KHP118-207-2025030,2025-02-24,2025-03-06,27.0,240.0
KHP122-001-2025030,2025-02-24,2025-03-05,20.0,216.0
