Node Id,Node Caption,Parent Node Id,Parent Node Caption,Level,CourseNo
University,University,,,1,
8E000,Arts and Sciences,University,University,2,
8X000,Fine Arts,University,University,2,
81010,"Ag, Food and Environment",University,University,2,
8F000,Business & Economics,University,University,2,
8H000,Engineering,University,University,2,
7H000,Medicine,University,University,2,
8N000,Design,University,University,2,
7N800,Health Sciences,University,University,2,
7P610,Public Health,University,University,2,
8G000,Education,University,University,2,
7A000,Dentistry,University,University,2,
8M000,Communication and Information,University,University,2,
8T110,Social Work,University,University,2,
30000047,Undergraduate Admissions,University,University,2,
31005278,University Registrar,University,University,2,
8W300,Graduate School,University,University,2,
31008351,Office of the Provost,University,University,2,
31000825,Education Abroad,University,University,2,
8Z110,Undergraduate Education,University,University,2,
30000055,Lewis Honors College,University,University,2,
8K000,Law,University,University,2,
7E000,Nursing,University,University,2,
7K000,Pharmacy,University,University,2,
31000226,Arts and Sciences,8E000,Arts and Sciences,3,
30000563,School of Art and Visual Studies,8X000,Fine Arts,3,
31000151,Arts Administration,8X000,Fine Arts,3,
31000227,Agricultural Biotechnology,81010,"Ag, Food and Environment",3,
30000497,B&E Accountancy,8F000,Business & Economics,3,
30000230,Agr Economics,81010,"Ag, Food and Environment",3,
31000231,Agricultural Education,81010,"Ag, Food and Environment",3,
30000231,Biosystems & Agr Engineering,81010,"Ag, Food and Environment",3,
30000536,Mechanical Engineering,8H000,Engineering,3,
30000232,Plant and Soil Sciences,81010,"Ag, Food and Environment",3,
31000005,Agriculture General,81010,"Ag, Food and Environment",3,
30000463,Aerospace Studies,8E000,Arts and Sciences,3,
30000486,"Modern & Classical Lang, Lit & Cultures",8E000,Arts and Sciences,3,
30000461,Military Science and Leadership,8E000,Arts and Sciences,3,
31000233,Business and Economics,8F000,Business & Economics,3,
30000498,Dept of Finance & Quantitative Methods,8F000,Business & Economics,3,
31000138,Decision Science and Information Systems,8F000,Business & Economics,3,
30000334,Department of Neuroscience,7H000,Medicine,3,
30000353,Anesthesiology,7H000,Medicine,3,
30000464,Anthropology,8E000,Arts and Sciences,3,
31000126,Appalachian Studies,8E000,Arts and Sciences,3,
30000548,School of Architecture,8N000,Design,3,
30000234,Animal and Food Sciences,81010,"Ag, Food and Environment",3,
30000475,Physics And Astronomy,8E000,Arts and Sciences,3,
31006425,Athletic Training and Clinical Nutrition,7N800,Health Sciences,3,
30000431,Health Sciences - Rehabilitation Science,7N800,Health Sciences,3,
31000145,Engineering,8H000,Engineering,3,
30000338,Molecular and Cellular Biochemistry,7H000,Medicine,3,
30000482,Biology,8E000,Arts and Sciences,3,
30000560,Biomedical Engineering,8H000,Engineering,3,
30000322,College of Medicine,7H000,Medicine,3,
30000337,Behavioral Science,7H000,Medicine,3,
30000449,Dept Of Biostatistics,7P610,Public Health,3,
30000512,"Early Childhood, Spec Ed & Counselor Ed",8G000,Education,3,
30000309,Dentistry Oral Health Science,7A000,Dentistry,3,
31005837,Division of Public Health Dent,7A000,Dentistry,3,
31005812,Division of Comprehensive Care,7A000,Dentistry,3,
31000008,Conjoint Dental Sciences,7A000,Dentistry,3,
31000018,Restorative Dentistry,7A000,Dentistry,3,
30000531,Civil Engineering,8H000,Engineering,3,
30000467,Chemistry,8E000,Arts and Sciences,3,
30000433,College of Health Sciences,7N800,Health Sciences,3,
31000044,Clinical Sciences,7N800,Health Sciences,3,
31000234,Communication and Information Studies,8M000,Communication and Information,3,
31000149,Social Work,8T110,Social Work,3,
30000244,Community & Leadership Development,81010,"Ag, Food and Environment",3,
31006427,Health and Clinical Sciences,7N800,Health Sciences,3,
31000041,Allied Health Education and Research,7N800,Health Sciences,3,
31000236,Chemical & Materials Engineeri,8H000,Engineering,3,
30000544,Communication,8M000,Communication and Information,3,
30000047,Undergraduate Admissions,30000047,Undergraduate Admissions,3,
31005278,University Registrar,31005278,University Registrar,3,
30000533,Electrical and Computer Engineering,8H000,Engineering,3,
30000446,"Department of Health, Behavior & Society",7P610,Public Health,3,
30000447,Dept of Health Mgmt & Policy,7P610,Public Health,3,
30000435,College of Public Health,7P610,Public Health,3,
30000448,Dept of Epidemiology & Environ Health,7P610,Public Health,3,
30000445,Dept Of Preventive Med & Envir,7P610,Public Health,3,
31000125,Public Health,7P610,Public Health,3,
31007650,Engineering Technology,8H000,Engineering,3,
30000523,Computer Science,8H000,Engineering,3,
31006426,Communication Sciences and Disorders,7N800,Health Sciences,3,
31000042,Communication Disorders,7N800,Health Sciences,3,
30000546,College of Design,8N000,Design,3,
30000110,Dietetics and Human Nutrition,81010,"Ag, Food and Environment",3,
30000557,Patterson School Of Diplomacy,8W300,Graduate School,3,
30000362,Radiology,7H000,Medicine,3,
31008351,Office of the Provost,31008351,Office of the Provost,3,
31000825,Education Abroad,31000825,Education Abroad,3,
30000500,B&E Economics,8F000,Business & Economics,3,
30000508,Education Curriculum & Instr,8G000,Education,3,
30000507,Educational Leadership Studies,8G000,Education,3,
30000509,"Educational, School and Counseling Psych",8G000,Education,3,
31000139,Education,8G000,Education,3,
30000471,Earth and Environmental Sciences,8E000,Arts and Sciences,3,
30000518,Stanley and Karen Pigman College of Engg,8H000,Engineering,3,
